stand_number,phase,area_sqm,cost_per_sqm,total_cost
1,E,1235.0,15.0,18525
2,E,730.0,15.0,10950
3,E,731.0,15.0,10965
4,E,731.0,15.0,10965
5,E,731.0,15.0,10965
6,E,731.0,15.0,10965
7,E,731.0,15.0,10965
8,E,731.0,15.0,10965
9,E,732.0,15.0,10980
10,E,732.0,15.0,10980
11,E,740.0,15.0,11100
12,E,722.0,15.0,10830
13,E,742.0,15.0,11130
14,E,732.0,15.0,10980
15,E,732.0,15.0,10980
16,E,726.0,15.0,10890
17,E,743.0,15.0,11145
18,E,724.0,15.0,10860
19,E,802.0,15.0,12030
20,E,678.0,15.0,10170
21,E,606.0,15.0,9090
22,E,597.0,15.0,8955
23,E,603.0,15.0,9045
24,E,609.0,15.0,9135
25,E,598.0,15.0,8970
26,E,606.0,15.0,9090
27,E,603.0,15.0,9045
28,E,597.0,15.0,8955
29,E,608.0,15.0,9120
30,E,603.0,15.0,9045
31,E,601.0,15.0,9015
32,E,601.0,15.0,9015
33,E,606.0,15.0,9090
34,E,597.0,15.0,8955
35,E,607.0,15.0,9105
36,E,601.0,15.0,9015
37,E,602.0,15.0,9030
38,E,600.0,15.0,9000
39,E,604.0,15.0,9060
40,E,643.0,15.0,9645
41,E,648.0,15.0,9720
42,E,593.0,15.0,8895
43,E,606.0,15.0,9090
44,E,599.0,15.0,8985
45,E,601.0,15.0,9015
46,E,602.0,15.0,9030
47,E,604.0,15.0,9060
48,E,602.0,15.0,9030
49,E,601.0,15.0,9015
50,E,602.0,15.0,9030
51,E,608.0,15.0,9120
52,E,609.0,15.0,9135
53,E,591.0,15.0,8865
54,E,610.0,15.0,9150
55,E,601.0,15.0,9015
56,E,599.0,15.0,8985
57,E,603.0,15.0,9045
58,E,606.0,15.0,9090
59,E,597.0,15.0,8955
60,E,608.0,15.0,9120
61,E,679.0,15.0,10185
62,E,653.0,15.0,9795
63,E,655.0,15.0,9825
64,E,648.0,15.0,9720
65,E,659.0,15.0,9885
66,E,660.0,15.0,9900
67,E,647.0,15.0,9705
68,E,663.0,15.0,9945
69,E,601.0,15.0,9015
70,E,644.0,15.0,9660
71,E,655.0,15.0,9825
72,E,650.0,15.0,9750
73,E,1000.0,15.0,15000
74,E,588.0,15.0,8820
75,E,784.0,15.0,11760
76,E,724.0,15.0,10860
77,E,725.0,15.0,10875
78,E,1336.0,15.0,20040
79,E,808.0,15.0,12120
80,E,800.0,15.0,12000
81,E,796.0,15.0,11940
82,E,796.0,15.0,11940
83,E,1014.0,15.0,15210
84,E,795.0,15.0,11925
85,E,795.0,15.0,11925
86,E,1103.0,15.0,16545
87,E,1644.0,15.0,24660
88,E,1009.0,15.0,15135
89,E,1090.0,15.0,16350
90,E,1522.0,15.0,22830
91,E,787.0,15.0,11805
92,E,782.0,15.0,11730
93,E,767.0,15.0,11505
94,E,805.0,15.0,12075
95,E,799.0,15.0,11985
96,E,792.0,15.0,11880
97,E,796.0,15.0,11940
98,E,922.0,15.0,13830
99,E,801.0,15.0,12015
100,E,723.0,15.0,10845
101,E,723.0,15.0,10845
102,E,778.0,15.0,11670
103,E,928.0,15.0,13920
104,E,765.0,15.0,11475
105,E,1128.0,15.0,16920
106,E,929.0,15.0,13935
107,E,1002.0,15.0,15030
108,E,866.0,15.0,12990
109,E,831.0,15.0,12465
110,E,884.0,15.0,13260
111,E,768.0,15.0,11520
112,E,908.0,15.0,13620
113,E,877.0,15.0,13155
114,E,963.0,15.0,14445
115,E,792.0,15.0,11880
116,E,792.0,15.0,11880
117,E,784.0,15.0,11760
118,E,795.0,15.0,11925
119,E,803.0,15.0,12045
120,E,708.0,15.0,10620
121,E,799.0,15.0,11985
122,E,799.0,15.0,11985
123,E,803.0,15.0,12045
124,E,708.0,15.0,10620
125,E,879.0,15.0,13185
126,E,797.0,15.0,11955
127,E,796.0,15.0,11940
128,E,796.0,15.0,11940
129,E,796.0,15.0,11940
130,E,718.0,15.0,10770
131,E,720.0,15.0,10800
132,E,711.0,15.0,10665
133,E,720.0,15.0,10800
134,E,719.0,15.0,10785
135,E,1085.0,15.0,16275
136,E,1089.0,15.0,16335
137,E,799.0,15.0,11985
138,E,798.0,15.0,11970
139,E,796.0,15.0,11940
140,E,798.0,15.0,11970
141,E,797.0,15.0,11955
142,E,797.0,15.0,11955
143,E,797.0,15.0,11955
144,E,798.0,15.0,11970
145,E,799.0,15.0,11985
146,E,772.0,15.0,11580
147,E,1397.0,15.0,20955
148,E,799.0,15.0,11985
149,E,799.0,15.0,11985
150,E,799.0,15.0,11985
151,E,799.0,15.0,11985
152,E,799.0,15.0,11985
153,E,800.0,15.0,12000
154,E,799.0,15.0,11985
155,E,799.0,15.0,11985
156,E,799.0,15.0,11985
157,E,781.0,15.0,11715
158,E,787.0,15.0,11805
159,E,800.0,15.0,12000
160,E,800.0,15.0,12000
161,E,800.0,15.0,12000
162,E,800.0,15.0,12000
163,E,800.0,15.0,12000
164,E,800.0,15.0,12000
165,E,800.0,15.0,12000
166,E,800.0,15.0,12000
167,E,800.0,15.0,12000
168,E,800.0,15.0,12000
169,E,800.0,15.0,12000
170,E,800.0,15.0,12000
171,E,783.0,15.0,11745
172,E,1220.0,15.0,18300
173,E,654.0,15.0,9810
174,E,666.0,15.0,9990
175,E,648.0,15.0,9720
176,E,670.0,15.0,10050
177,E,1109.0,15.0,16635
178,E,866.0,15.0,12990
179,E,660.0,15.0,9900
180,E,657.0,15.0,9855
181,E,1152.0,15.0,17280
182,E,1009.0,15.0,15135
183,E,800.0,15.0,12000
184,E,800.0,15.0,12000
185,E,800.0,15.0,12000
186,E,800.0,15.0,12000
187,E,800.0,15.0,12000
188,E,800.0,15.0,12000
189,E,800.0,15.0,12000
190,E,800.0,15.0,12000
191,E,800.0,15.0,12000
192,E,784.0,15.0,11760
193,E,653.0,15.0,9795
194,E,607.0,15.0,9105
195,E,602.0,15.0,9030
196,E,609.0,15.0,9135
197,E,601.0,15.0,9015
198,E,602.0,15.0,9030
199,E,602.0,15.0,9030
200,E,652.0,15.0,9780
201,E,765.0,15.0,11475
202,E,716.0,15.0,10740
203,E,702.0,15.0,10530
204,E,716.0,15.0,10740
205,E,925.0,15.0,13875
206,E,2039.0,15.0,30585
207,E,1173.0,15.0,17595
208,E,1638.0,15.0,24570
209,E,815.0,15.0,12225
210,E,712.0,15.0,10680
211,E,775.0,15.0,11625
212,E,1171.0,15.0,17565
213,E,1035.0,15.0,15525
214,E,1034.0,15.0,15510
215,E,1035.0,15.0,15525
216,E,1035.0,15.0,15525
217,E,1026.0,15.0,15390
218,E,1035.0,15.0,15525
219,E,1181.0,15.0,17715
220,E,797.0,15.0,11955
221,E,1291.0,15.0,19365
222,E,800.0,15.0,12000
223,E,798.0,15.0,11970
224,E,791.0,15.0,11865
225,E,799.0,15.0,11985
226,E,801.0,15.0,12015
227,E,800.0,15.0,12000
228,E,790.0,15.0,11850
229,E,801.0,15.0,12015
230,E,799.0,15.0,11985
231,E,1002.0,15.0,15030
232,E,966.0,15.0,14490
233,E,959.0,15.0,14385
234,E,895.0,15.0,13425
235,E,900.0,15.0,13500
236,E,966.0,15.0,14490
237,E,1120.0,15.0,16800
238,E,803.0,15.0,12045
239,E,789.0,15.0,11835
240,E,803.0,15.0,12045
241,E,807.0,15.0,12105
242,E,804.0,15.0,12060
243,E,800.0,15.0,12000
244,E,792.0,15.0,11880
245,E,818.0,15.0,12270
246,E,802.0,15.0,12030
247,E,1971.0,15.0,29565
248,E,1032.0,15.0,15480
249,E,1035.0,15.0,15525
250,E,1034.0,15.0,15510
251,E,1076.0,15.0,16140
252,E,1308.0,15.0,19620
253,E,796.0,15.0,11940
254,E,794.0,15.0,11910
255,E,800.0,15.0,12000
256,E,800.0,15.0,12000
257,E,1099.0,15.0,16485
258,E,800.0,15.0,12000
259,E,800.0,15.0,12000
260,E,800.0,15.0,12000
261,E,800.0,15.0,12000
262,E,800.0,15.0,12000
263,E,800.0,15.0,12000
264,E,800.0,15.0,12000
265,E,993.0,15.0,14895
266,E,805.0,15.0,12075
267,E,803.0,15.0,12045
268,E,799.0,15.0,11985
269,E,837.0,15.0,12555
270,E,394.0,15.0,5910
271,E,418.0,15.0,6270
272,E,428.0,15.0,6420
273,E,416.0,15.0,6240
274,E,408.0,15.0,6120
275,E,470.0,15.0,7050
276,E,495.0,15.0,7425
277,E,426.0,15.0,6390
278,E,426.0,15.0,6390
279,E,427.0,15.0,6405
280,E,425.0,15.0,6375
281,E,400.0,15.0,6000
282,I,437.0,15.0,6555
283,I,311.0,15.0,4665
284,I,297.0,15.0,4455
285,I,301.0,15.0,4515
286,I,293.0,15.0,4395
287,I,303.0,15.0,4545
288,I,297.0,15.0,4455
289,I,301.0,15.0,4515
290,I,303.0,15.0,4545
291,I,297.0,15.0,4455
292,I,317.0,15.0,4755
293,I,295.0,15.0,4425
294,I,302.0,15.0,4530
295,I,293.0,15.0,4395
296,I,303.0,15.0,4545
297,I,297.0,15.0,4455
298,I,303.0,15.0,4545
299,I,297.0,15.0,4455
300,I,302.0,15.0,4530
301,I,300.0,15.0,4500
302,I,297.0,15.0,4455
303,I,302.0,15.0,4530
304,I,298.0,15.0,4470
305,I,388.0,15.0,5820
306,I,300.0,15.0,4500
307,I,300.0,15.0,4500
308,I,300.0,15.0,4500
309,I,300.0,15.0,4500
310,I,300.0,15.0,4500
311,I,356.0,15.0,5340
312,I,361.0,15.0,5415
313,I,300.0,15.0,4500
314,I,300.0,15.0,4500
315,I,300.0,15.0,4500
316,I,300.0,15.0,4500
317,I,425.0,15.0,6375
318,I,1035.0,15.0,15525
319,I,482.0,15.0,7230
320,I,370.0,15.0,5550
321,I,377.0,15.0,5655
322,I,369.0,15.0,5535
323,I,677.0,15.0,10155
324,I,336.0,15.0,5040
325,I,429.0,15.0,6435
326,I,295.0,15.0,4425
327,I,302.0,15.0,4530
328,I,296.0,15.0,4440
329,I,300.0,15.0,4500
330,I,404.0,15.0,6060
331,I,327.0,15.0,4905
332,I,302.0,15.0,4530
333,I,275.0,15.0,4125
334,I,328.0,15.0,4920
335,I,306.0,15.0,4590
336,I,300.0,15.0,4500
337,I,301.0,15.0,4515
338,I,295.0,15.0,4425
339,I,300.0,15.0,4500
340,I,390.0,15.0,5850
341,I,344.0,15.0,5160
342,I,294.0,15.0,4410
343,I,294.0,15.0,4410
344,I,302.0,15.0,4530
345,I,505.0,15.0,7575
346,I,326.0,15.0,4890
347,I,302.0,15.0,4530
348,I,296.0,15.0,4440
349,I,344.0,15.0,5160
350,I,337.0,15.0,5055
351,I,300.0,15.0,4500
352,I,302.0,15.0,4530
353,I,317.0,15.0,4755
354,I,360.0,15.0,5400
355,I,337.0,15.0,5055
356,I,296.0,15.0,4440
357,I,304.0,15.0,4560
358,I,296.0,15.0,4440
359,I,297.0,15.0,4455
360,I,344.0,15.0,5160
361,I,335.0,15.0,5025
362,I,301.0,15.0,4515
363,I,596.0,15.0,8940
364,I,295.0,15.0,4425
365,I,301.0,15.0,4515
366,I,293.0,15.0,4395
367,I,294.0,15.0,4410
368,I,302.0,15.0,4530
369,I,298.0,15.0,4470
370,I,294.0,15.0,4410
371,I,378.0,15.0,5670
372,I,713.0,15.0,10695
373,I,671.0,15.0,10065
374,I,289.0,15.0,4335
375,I,289.0,15.0,4335
376,I,289.0,15.0,4335
377,I,289.0,15.0,4335
378,I,289.0,15.0,4335
379,I,288.0,15.0,4320
380,I,289.0,15.0,4335
381,I,289.0,15.0,4335
382,I,288.0,15.0,4320
383,I,288.0,15.0,4320
384,I,289.0,15.0,4335
385,I,288.0,15.0,4320
386,I,288.0,15.0,4320
387,I,289.0,15.0,4335
388,I,288.0,15.0,4320
389,I,288.0,15.0,4320
390,I,285.0,15.0,4275
391,I,290.0,15.0,4350
392,I,289.0,15.0,4335
393,I,286.0,15.0,4290
394,I,288.0,15.0,4320
395,I,288.0,15.0,4320
396,I,288.0,15.0,4320
397,I,289.0,15.0,4335
398,I,288.0,15.0,4320
399,I,288.0,15.0,4320
400,I,289.0,15.0,4335
401,I,292.0,15.0,4380
402,I,289.0,15.0,4335
403,I,289.0,15.0,4335
404,I,289.0,15.0,4335
405,I,289.0,15.0,4335
406,I,290.0,15.0,4350
407,I,289.0,15.0,4335
